label,message
ham,Hi how are you
ham,Let's meet tomorrow
ham,Call me later
ham,Did you finish the assignment
ham,Are you coming to class today
ham,Please call me when you arrive
ham,Let's have lunch together
ham,I will see you tomorrow
ham,Don't forget the meeting

spam,Win a free lottery now
spam,You won $1000 click here
spam,Claim your prize now
spam,Free entry in a weekly contest
spam,Congratulations you have won a gift card
spam,Click here to claim your reward
spam,You have been selected for a prize
spam,Limited offer buy now
spam,Get free coupons today
